Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Pavuna;1;0;0;41;600.0;67.0;
Rocha Miranda;1;0;0;30;400.0;;
Rocha Miranda;1;0;0;45;500.0;80.0;
Sampaio;1;1;0;60;1000.0;400.0;
Moneró;1;0;0;50;1100.0;360.0;49.0
Bonsucesso;1;0;0;35;850.0;;10.0
Freguesia (Jacarepaguá);1;0;0;28;550.0;;
Botafogo;1;0;0;35;1000.0;293.0;86.0
Vargem Grande;1;0;0;35;800.0;230.0;
Centro;1;0;0;35;650.0;398.0;
Tijuca;1;0;0;40;1100.0;450.0;24.0
Maracanã;1;0;0;50;1100.0;492.0;20.0
Centro;1;0;0;30;750.0;330.0;25.0
Centro;1;0;0;25;700.0;292.0;24.0
Botafogo;1;0;0;21;1000.0;350.0;291.0
Freguesia (Ilha do Governador);1;0;0;40;800.0;150.0;
Copacabana;1;0;0;28;1000.0;567.0;
Botafogo;1;0;0;20;1100.0;481.0;29.0
Centro;1;0;0;25;800.0;200.0;25.0
Recreio dos Bandeirantes;1;0;0;50;900.0;100.0;62.0
Oswaldo Cruz;1;1;0;50;650.0;227.0;
Campo Grande;1;0;0;50;700.0;;
Botafogo;1;0;0;21;800.0;350.0;
Botafogo;1;0;0;28;1100.0;481.0;25.0
Copacabana;1;0;0;25;1000.0;385.0;
Centro;1;0;0;25;700.0;321.0;107.0
Jardim Sulacap;1;0;0;72;880.0;;13.0
Santa Teresa;1;0;0;35;800.0;400.0;
Gardênia Azul;1;0;0;25;490.0;15.0;
Ilha do Governador;1;0;0;45;1000.0;355.0;20.0
Olaria;1;0;0;35;800.0;;
Centro;1;0;0;42;850.0;543.0;26.0
Penha;1;0;0;27;800.0;;
Vaz Lobo;1;0;0;30;400.0;;
Engenho de Dentro;1;0;0;50;1000.0;90.0;
Vicente de Carvalho;1;0;0;32;500.0;;
Vicente de Carvalho;1;0;1;50;1000.0;;
Campo Grande;1;0;0;50;439.0;;
Praça da Bandeira;1;0;0;30;800.0;355.0;25.0
Pechincha;1;0;0;60;1100.0;347.0;55.0
Centro;1;0;0;18;950.0;397.0;24.0
Cachambi;1;0;0;40;800.0;150.0;
Grajaú;1;0;0;40;900.0;250.0;10.0
Glória;1;0;0;30;1100.0;361.0;24.0
Glória;1;0;0;35;1100.0;495.0;
Estácio;1;0;0;18;600.0;150.0;25.0
Inhoaíba;1;0;0;50;600.0;;
Copacabana;1;0;0;30;1000.0;488.0;54.0
Botafogo;1;0;0;18;1000.0;436.0;25.0
Cachambi;1;1;0;45;700.0;210.0;
Méier;1;0;0;40;1100.0;500.0;13.0
Penha;1;0;0;50;900.0;250.0;
Andaraí;1;0;0;40;1000.0;340.0;190.0
Todos os Santos;1;1;1;48;1000.0;490.0;
Engenho de Dentro;1;0;0;30;300.0;50.0;
Ramos;1;0;0;40;750.0;;
